venueId,sectionName,dishId,dishName,description,price
3fd66200f964a52048ee1ee3,"Appetizers",27101305,"The Sampler","2 chicken fingers, 3 mozzarella sticks, 3 jalapeño poppers, 4 buffalo wings and 4 onion rings.",13.95
3fd66200f964a52048ee1ee3,"Appetizers",27101306,"Chicken Fingers","",8.95
3fd66200f964a52048ee1ee3,"Appetizers",27101307,"Chicken Fingers Deluxe","With honey mustard or blue cheese dressing, lettuce and tomato, french fries, pickle and coleslaw.",11.95
3fd66200f964a52048ee1ee3,"Appetizers",27101308,"Buffalo Wings","",8.95
3fd66200f964a52048ee1ee3,"Appetizers",27101309,"Buffalo Wings Deluxe","With honey mustard or blue cheese dressing, lettuce and tomato, french fries, pickle and coleslaw.",10.95
3fd66200f964a52048ee1ee3,"Our Homemade Soup",27101467,"Soup of the Day","",2.95
3fd66200f964a52048ee1ee3,"Our Homemade Soup",27101468,"French Onion Soup Au Gratin","",
3fd66200f964a52048ee1ee3,"Kellogg's Gourmet Salads",27101469,"Chef`s Salad","An assortment of mixed greens, tomato, baby corn, onions and cucumbers with rolled turkey, roast beef, ham, swiss and american cheese, hard-boiled egg and garnish. just what the chef suggested.",11.95
3fd66200f964a52048ee1ee3,"Kellogg's Gourmet Salads",27101470,"Mediterranean Salad","An assortment of mixed greens with tomatoes, baby corn, chick peas, mushrooms, kalamata black olives and scallions tossed with fresh mozzarella cheese and garnish.",10.95
3fd66200f964a52048ee1ee3,"Kellogg's Gourmet Salads",27101471,"Ny Cobb Salad","Ith mixed mesclun greens, grilled chicken breast, bacon bits, hard boiled egg, avocado, black olives and crumbled bleu cheese with your choice of dressing and garnish.",11.95
3fd66200f964a52048ee1ee3,"Kellogg's Gourmet Salads",27101472,"Fresh Garden Salad","Variety of fresh vegetables served with your choice of dressing and garnish",7.95
3fd66200f964a52048ee1ee3,"Kellogg's Gourmet Salads",27101473,"Classic Greek Salad","An assortment of mixed greens with feta cheese, kalamata black olives, stuffed grape leaves, anchovies, pepperoncini peppers with oregano, olive oil and wine vinegar. the salad gods envy",11.95
3fd66200f964a52048ee1ee3,"Deli Sandwiches",27101587,"Chicken Salad Sandwich","With lettuce.",5.25
3fd66200f964a52048ee1ee3,"Deli Sandwiches",27101588,"Egg Salad Sandwich","",4.50
3fd66200f964a52048ee1ee3,"Deli Sandwiches",27101589,"Individual Tuna Sandwich","With lettuce.",5.95
3fd66200f964a52048ee1ee3,"Deli Sandwiches",27101590,"Cream Cheese with Jelly Sandwich","With grape jelly.",5.50
3fd66200f964a52048ee1ee3,"Deli Sandwiches",27101591,"Full House Sandwich","Grilled cheese with bacon and tomato.",5.75
3fd66200f964a52048ee1ee3,"Deli Sandwiches",27101592,"Roast Turkey Sandwich","All white meat.",7.50
3fd66200f964a52048ee1ee3,"Deli Sandwiches",27101593,"Baked Meatloaf Sandwich","",6.50
3fd66200f964a52048ee1ee3,"Entrées & Roasts",27101629,"Roast Young Tom Turkey","All white meat with stuffing, giblet gravy and cranberry sauce.",14.95
3fd66200f964a52048ee1ee3,"Entrées & Roasts",27101630,"Baked Meatloaf","With mushroom sauce.",13.95
3fd66200f964a52048ee1ee3,"Entrées & Roasts",27101631,"Roast Sirloin of Beef Au Jus","",14.95
3fd66200f964a52048ee1ee3,"Large Pies & Pastries",27101632,"Creamy Cheesecake","",4.95
3fd66200f964a52048ee1ee3,"Large Pies & Pastries",27101633,"Strawberry Cheesecake","",5.50
3fd66200f964a52048ee1ee3,"Large Pies & Pastries",27101634,"Strawberry Shortcake","",4.75
3fd66200f964a52048ee1ee3,"Large Pies & Pastries",27101635,"Seven Layer Cake","",4.75
3fd66200f964a52048ee1ee3,"Large Pies & Pastries",27101636,"Boston Cream Pie","",4.25
4161e400f964a520631d1fe3,"Sandwiches",76885902,"Grilled Cilantro Chicken with Pesto","Cheese-free pesto is available",9.75
4161e400f964a520631d1fe3,"Sandwiches",76885903,"Herb Roasted Turkey Breast","Dijon mustard & mayonnaise",9.75
4161e400f964a520631d1fe3,"Sandwiches",76885904,"Tuna Sandwich","Celery, onion, cucumbers, tomato, olive oil, vinegar & mayo on bread",9.75
4161e400f964a520631d1fe3,"Sandwiches",76885905,"Chicken Curry","All-natural chicken breast, raisins, onions, celery, in a curry sauce & mayo on bread",9.75
4161e400f964a520631d1fe3,"Sandwiches",76885906,"Grilled Veggie with Pesto","Eggplant, zucchini, mushroom & roasted peppers",9.75
4161e400f964a520631d1fe3,"Sandwiches",76885907,"Sprout Sandwich","Alfalfa sprouts, Jarlsberg Swiss cheese, red onion, Roma tomatoes, avocado & hummus on sprouted bread",9.75
4161e400f964a520631d1fe3,"Signature Sandwiches",76885908,"Caprese Sandwich","Fresh mozzarella, roasted peppers, heirloom tomatoes and fresh basil served on a toasted baguette with basil oil, balsamic vinegar reduction and sundried tomato spread",12.75
4161e400f964a520631d1fe3,"Signature Sandwiches",76885909,"The New Yorker Sandwich","A classic Rueben sandwich with all natural pastrami with Russian dressing, braised green cabbage, imported Swiss cheese on thick slices of marble bread grilled golden brown. Served with a locally grown mixed greens salad & cornichon pickles",13.25
4161e400f964a520631d1fe3,"Signature Sandwiches",76885910,"Urth Pot Roast Sandwich","Slow roasted all natural beef with natural juices on a classic French baguette. Served with a locally grown mixed greens salad & homemade horseradish sauce",15.95
4161e400f964a520631d1fe3,"Signature Sandwiches",76885911,"Turkey Burger","Fresh ground turkey (10 ounces) seasoned with herbs, sea salt, Worcestershire and tomato. Grilled well and served on a rustic roll with Dijon mustard, mayonnaise, lettuce and tomato. Served with a locally grown mixed greens salad",12.25
4161e400f964a520631d1fe3,"Urth Pizza",76885915,"Margarita Pizza","Tomatoes, fresh mozzarella and basil",9.95
4161e400f964a520631d1fe3,"Urth Pizza",76885912,"Butternut Squash & Ricotta Pizza","Tomatoes, mozzarella and herbed Ricotta cheese, butternut squash and fresh oregano",11.95
