city_name,north_lat,south_lat,east_lon,west_lon
New York,40.917577,40.477399,-73.700272,-74.25909
Los Angeles,34.337306,33.703652,-118.155289,-118.668176
Berlin,52.675454,52.338234,13.761118,13.088346
Paris,48.902145,48.815573,2.469921,2.224199
Budapest,47.613012,47.349415,19.334505,18.926101
Milan,45.535689,45.389779,9.290346,9.065118
Prague,50.177403,49.941936,14.706795,14.224453
Rome,42.050546,41.769596,12.730289,12.341707
London,51.672343,51.38494,0.148271,-0.351468
Madrid,40.563845,40.312064,-3.524912,-3.834162
Amsterdam,52.431157,52.318274,5.06839,4.728856
Copenhagen,55.727094,55.615441,12.734265,12.453382
Miami,25.855773,25.709042,-80.139157,-80.31976
San francisco,37.929824,37.63983,-122.28178,-123.173825
Athens,38.032856,37.948818,23.789693,23.686986
Mexico city,19.592757,19.048237,-98.940303,-99.364924
Buenos Aires,-34.526546,-34.705101,-58.335145,-58.531452
